date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:39:44	460/460	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2268029c3e-38c%22	https://www.rutete.com/robots.txt		(from )
01:39:44	44027/44027	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2022:18:29%20GMT	https://www.rutete.com/	C:/Hotel2/hotel10/www.rutete.com/index.html	(from )
01:39:45	99008/99008	---M-Z	200	added ('OK')	text/css	etag:%228672ecd24e3bf3574e7211bda408879c%22	https://assets-global.website-files.com/63864d9489a0a6d30c6acab4/css/rutete-lodge-ca784d70049028b42217447051.webflow.fc8e8dd81.css	C:/Hotel2/hotel10/assets-global.website-files.com/63864d9489a0a6d30c6acab4/css/rutete-lodge-ca784d70049028b42217447051.webflow.fc8e8dd81.css	(from https://www.rutete.com/)
01:39:45	19042/19042	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2030%20Apr%202025%2000:39:53%20GMT	https://use.typekit.net/nqe1xzi.js	C:/Hotel2/hotel10/use.typekit.net/nqe1xzi.js	(from https://www.rutete.com/)
01:39:46	2722/2722	---M--	200	added ('OK')	image/png	etag:%2214b204eac72d033a95199e47d188b1a1%22	https://cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a657a06acb13_rutete%20logo%20favicon%402x%202.png	C:/Hotel2/hotel10/cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a657a06acb13_rutete%20logo%20favicon@2x%202.png	(from https://www.rutete.com/)
01:39:46	32990/32990	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2018:29:27%20GMT	https://www.rutete.com/the-eco-lodge	C:/Hotel2/hotel10/www.rutete.com/the-eco-lodge.html	(from https://www.rutete.com/)
01:39:47	55621/55621	---M--	200	added ('OK')	image/png	etag:%227c257ce3d1606e0a6f0febe9228c8df9%22	https://cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a6813f6acb12_rutete%20logo%20favicon%402x.png	C:/Hotel2/hotel10/cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a6813f6acb12_rutete%20logo%20favicon@2x.png	(from https://www.rutete.com/)
01:39:47	80401/80401	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2014:44:01%20GMT	https://www.rutete.com/our-philosophy	C:/Hotel2/hotel10/www.rutete.com/our-philosophy.html	(from https://www.rutete.com/)
01:39:47	35509/35509	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2014:31:33%20GMT	https://www.rutete.com/gallery	C:/Hotel2/hotel10/www.rutete.com/gallery.html	(from https://www.rutete.com/)
01:39:47	35415/35415	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2009:43:23%20GMT	https://www.rutete.com/how-can-you-help	C:/Hotel2/hotel10/www.rutete.com/how-can-you-help.html	(from https://www.rutete.com/)
01:39:48	25416/25416	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2014:49:28%20GMT	https://www.rutete.com/contact-us	C:/Hotel2/hotel10/www.rutete.com/contact-us.html	(from https://www.rutete.com/)
01:39:48	22263/22263	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2014:09:34%20GMT	https://www.rutete.com/bookings	C:/Hotel2/hotel10/www.rutete.com/bookings.html	(from https://www.rutete.com/)
01:39:49	4739/4739	---M--	200	added ('OK')	image/png	etag:%22fc352a10e322746e69008e0ba454b6b9%22	https://cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a61a936acae0_Paper%20rip%402x.png	C:/Hotel2/hotel10/cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a61a936acae0_Paper%20rip@2x.png	(from https://www.rutete.com/)
01:39:56	1528563/1528563	---M--	200	added ('OK')	image/jpeg	etag:%22322e067c53a07ad518085fa3dae43c0c%22	https://cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/65ee1a608b6b306ef24ed2f8_64ba5f4f83918b941bc1efd6_02-small.jpg	C:/Hotel2/hotel10/cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/65ee1a608b6b306ef24ed2f8_64ba5f4f83918b941bc1efd6_02-small.jpg	(from https://www.rutete.com/)
01:39:56	1148841/1148841	---M--	200	added ('OK')	image/jpeg	etag:%222b013f87131afd6443ecd1c262633ca1%22	https://cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/65ee1ac90fd2d28579a1acb0_64ba619842f7724f067ed314_22-small.jpg	C:/Hotel2/hotel10/cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/65ee1ac90fd2d28579a1acb0_64ba619842f7724f067ed314_22-small.jpg	(from https://www.rutete.com/)
01:39:57	4722/4722	---M--	200	added ('OK')	image/png	etag:%22d48c20617bcc0d991e90519d75ee6221%22	https://cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a64ab96acae1_paper-rip-beige%402x.png	C:/Hotel2/hotel10/cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a64ab96acae1_paper-rip-beige@2x.png	(from https://www.rutete.com/)
01:39:57	56952/56952	---M--	200	added ('OK')	image/png	etag:%2230ab99505b4fcb5db8a45d328dfc9e63%22	https://cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a608dd6acb14_rutete%20logo%20%402x.png	C:/Hotel2/hotel10/cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/63864d9489a0a608dd6acb14_rutete%20logo%20@2x.png	(from https://www.rutete.com/)
01:39:58	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=63864d9489a0a6d30c6acab4	C:/Hotel2/hotel10/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8b749.js	(from https://www.rutete.com/)
01:39:59	831329/831329	---M--	200	added ('OK')	image/jpeg	etag:%225609156c896c1e0dadd3567cada1c85c%22	https://cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/65ee1b0ce679f7ec3c7a12e3_64ba605025caeeaf18ef918f_08-small.jpg	C:/Hotel2/hotel10/cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/65ee1b0ce679f7ec3c7a12e3_64ba605025caeeaf18ef918f_08-small.jpg	(from https://www.rutete.com/)
01:39:59	413207/413207	---M-Z	200	added ('OK')	text/javascript	etag:%228170a73472bb3ac42b3cf16edb51f7d6%22	https://assets-global.website-files.com/63864d9489a0a6d30c6acab4/js/webflow.466c7fc1c.js	C:/Hotel2/hotel10/assets-global.website-files.com/63864d9489a0a6d30c6acab4/js/webflow.466c7fc1c.js	(from https://www.rutete.com/)
01:40:00	1742903/1742903	---M--	200	added ('OK')	image/jpeg	etag:%22f7c8bee2cf174e30c365ed8c5153d20e%22	https://cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/65ee18e206620d0d7bd6beab_64ba5f4f207f66103ebd3ddb_20-small.jpg	C:/Hotel2/hotel10/cdn.prod.website-files.com/63864d9489a0a6d30c6acab4/65ee18e206620d0d7bd6beab_64ba5f4f207f66103ebd3ddb_20-small.jpg	(from https://www.rutete.com/)
01:40:01	116074/116074	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-1c56a%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/2.0.2/TweenMax.min.js	C:/Hotel2/hotel10/cdnjs.cloudflare.com/ajax/libs/gsap/2.0.2/TweenMax.min.js	(from https://www.rutete.com/)
